,level_of_difficulty,tensor_name,source_domain,subtensor_name,subtensor_definition,subtensor_purpose,subtensor_mechanism,text,text_annotated,text_redacted,schema,target_domain
0,Elementary,solar system,Astronomy,Planets,Celestial bodies that orbit the Sun,"The Planets act as dynamic components within the solar system, contributing to its overall gravitational equilibrium and ensuring stability through their precise geometric positions and movements.","The mechanism of the Planets involves each planetary body following a specific elliptical path around the Sun, dictated by mathematical principles such as Kepler's laws of planetary motion and Newton's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the Planets and the Sun result in stable orbital configurations.","The Planets act as dynamic components within the solar system, contributing to its overall gravitational equilibrium and ensuring stability through their precise geometric positions and movements. The mechanism of the Planets involves each planetary body following a specific elliptical path around the Sun, dictated by mathematical principles such as Kepler's laws of planetary motion and Newton's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the Planets and the Sun result in stable orbital configurations.","""""""The {{Planets}} act as dynamic components within the solar system, contributing to its overall gravitational equilibrium and ensuring stability through their precise [geometric] positions and movements. The mechanism of the Planets involves each planetary body following a specific elliptical path around the Sun, dictated by [mathematical] principles such as Kepler's laws of planetary motion and Newton's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the Planets and the Sun result in stable orbital configurations.""""""","XXX XXX act as dynamic components within the XXX XXX, contributing to its overall gravitational equilibrium and ensuring stability through their precise geometric positions and movements. XXX mechanism of the XXX involves each planetary body following a specific elliptical path around the XXX, dictated by mathematical principles such as XXX's laws of planetary motion and XXX's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the XXX and the XXX result in stable orbital configurations.","[
  {
    ""description"": ""Gravitational Equilibrium"",
    ""mechanism"": ""Contributing to overall gravitational equilibrium and stability through precise geometric positions and movements.""
  },
  {
    ""description"": ""Elliptical Paths"",
    ""mechanism"": ""Dictating planetary bodies' movement along specific elliptical paths around a central body for predicted motion.""
  },
  {
    ""description"": ""Mathematical Principles (e.g., Kepler's laws of planetary motion and Newton's law of universal gravitation)"",
    ""mechanism"": ""Using mathematical laws to determine and predict planetary motion and gravitational interactions.""
  },
  {
    ""description"": ""Orbital Configurations"",
    ""mechanism"": ""Resulting in stable orbital configurations due to gravitational interactions between celestial bodies.""
  }
]",Kpop
1,Elementary,solar system,Astronomy,Planets,Celestial bodies that orbit the Sun,"The Planets act as dynamic components within the solar system, contributing to its overall gravitational equilibrium and ensuring stability through their precise geometric positions and movements.","The mechanism of the Planets involves each planetary body following a specific elliptical path around the Sun, dictated by mathematical principles such as Kepler's laws of planetary motion and Newton's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the Planets and the Sun result in stable orbital configurations.","The Planets act as dynamic components within the solar system, contributing to its overall gravitational equilibrium and ensuring stability through their precise geometric positions and movements. The mechanism of the Planets involves each planetary body following a specific elliptical path around the Sun, dictated by mathematical principles such as Kepler's laws of planetary motion and Newton's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the Planets and the Sun result in stable orbital configurations.","""""""The {{Planets}} act as dynamic components within the solar system, contributing to its overall gravitational equilibrium and ensuring stability through their precise [geometric] positions and movements. The mechanism of the Planets involves each planetary body following a specific elliptical path around the Sun, dictated by [mathematical] principles such as Kepler's laws of planetary motion and Newton's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the Planets and the Sun result in stable orbital configurations.""""""","XXX XXX act as dynamic components within the XXX XXX, contributing to its overall gravitational equilibrium and ensuring stability through their precise geometric positions and movements. XXX mechanism of the XXX involves each planetary body following a specific elliptical path around the XXX, dictated by mathematical principles such as XXX's laws of planetary motion and XXX's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the XXX and the XXX result in stable orbital configurations.","[
  {
    ""description"": ""Gravitational Equilibrium"",
    ""mechanism"": ""Contributing to overall gravitational equilibrium and stability through precise geometric positions and movements.""
  },
  {
    ""description"": ""Elliptical Paths"",
    ""mechanism"": ""Dictating planetary bodies' movement along specific elliptical paths around a central body for predicted motion.""
  },
  {
    ""description"": ""Mathematical Principles (e.g., Kepler's laws of planetary motion and Newton's law of universal gravitation)"",
    ""mechanism"": ""Using mathematical laws to determine and predict planetary motion and gravitational interactions.""
  },
  {
    ""description"": ""Orbital Configurations"",
    ""mechanism"": ""Resulting in stable orbital configurations due to gravitational interactions between celestial bodies.""
  }
]",baseball
2,Elementary,solar system,Astronomy,Planets,Celestial bodies that orbit the Sun,"The Planets act as dynamic components within the solar system, contributing to its overall gravitational equilibrium and ensuring stability through their precise geometric positions and movements.","The mechanism of the Planets involves each planetary body following a specific elliptical path around the Sun, dictated by mathematical principles such as Kepler's laws of planetary motion and Newton's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the Planets and the Sun result in stable orbital configurations.","The Planets act as dynamic components within the solar system, contributing to its overall gravitational equilibrium and ensuring stability through their precise geometric positions and movements. The mechanism of the Planets involves each planetary body following a specific elliptical path around the Sun, dictated by mathematical principles such as Kepler's laws of planetary motion and Newton's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the Planets and the Sun result in stable orbital configurations.","""""""The {{Planets}} act as dynamic components within the solar system, contributing to its overall gravitational equilibrium and ensuring stability through their precise [geometric] positions and movements. The mechanism of the Planets involves each planetary body following a specific elliptical path around the Sun, dictated by [mathematical] principles such as Kepler's laws of planetary motion and Newton's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the Planets and the Sun result in stable orbital configurations.""""""","XXX XXX act as dynamic components within the XXX XXX, contributing to its overall gravitational equilibrium and ensuring stability through their precise geometric positions and movements. XXX mechanism of the XXX involves each planetary body following a specific elliptical path around the XXX, dictated by mathematical principles such as XXX's laws of planetary motion and XXX's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the XXX and the XXX result in stable orbital configurations.","[
  {
    ""description"": ""Gravitational Equilibrium"",
    ""mechanism"": ""Contributing to overall gravitational equilibrium and stability through precise geometric positions and movements.""
  },
  {
    ""description"": ""Elliptical Paths"",
    ""mechanism"": ""Dictating planetary bodies' movement along specific elliptical paths around a central body for predicted motion.""
  },
  {
    ""description"": ""Mathematical Principles (e.g., Kepler's laws of planetary motion and Newton's law of universal gravitation)"",
    ""mechanism"": ""Using mathematical laws to determine and predict planetary motion and gravitational interactions.""
  },
  {
    ""description"": ""Orbital Configurations"",
    ""mechanism"": ""Resulting in stable orbital configurations due to gravitational interactions between celestial bodies.""
  }
]",Iron Man
3,Elementary,solar system,Astronomy,Planets,Celestial bodies that orbit the Sun,"The Planets act as dynamic components within the solar system, contributing to its overall gravitational equilibrium and ensuring stability through their precise geometric positions and movements.","The mechanism of the Planets involves each planetary body following a specific elliptical path around the Sun, dictated by mathematical principles such as Kepler's laws of planetary motion and Newton's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the Planets and the Sun result in stable orbital configurations.","The Planets act as dynamic components within the solar system, contributing to its overall gravitational equilibrium and ensuring stability through their precise geometric positions and movements. The mechanism of the Planets involves each planetary body following a specific elliptical path around the Sun, dictated by mathematical principles such as Kepler's laws of planetary motion and Newton's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the Planets and the Sun result in stable orbital configurations.","""""""The {{Planets}} act as dynamic components within the solar system, contributing to its overall gravitational equilibrium and ensuring stability through their precise [geometric] positions and movements. The mechanism of the Planets involves each planetary body following a specific elliptical path around the Sun, dictated by [mathematical] principles such as Kepler's laws of planetary motion and Newton's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the Planets and the Sun result in stable orbital configurations.""""""","XXX XXX act as dynamic components within the XXX XXX, contributing to its overall gravitational equilibrium and ensuring stability through their precise geometric positions and movements. XXX mechanism of the XXX involves each planetary body following a specific elliptical path around the XXX, dictated by mathematical principles such as XXX's laws of planetary motion and XXX's law of universal gravitation. This structured setup allows for the maintenance of a harmonious design where the gravitational interactions between the XXX and the XXX result in stable orbital configurations.","[
  {
    ""description"": ""Gravitational Equilibrium"",
    ""mechanism"": ""Contributing to overall gravitational equilibrium and stability through precise geometric positions and movements.""
  },
  {
    ""description"": ""Elliptical Paths"",
    ""mechanism"": ""Dictating planetary bodies' movement along specific elliptical paths around a central body for predicted motion.""
  },
  {
    ""description"": ""Mathematical Principles (e.g., Kepler's laws of planetary motion and Newton's law of universal gravitation)"",
    ""mechanism"": ""Using mathematical laws to determine and predict planetary motion and gravitational interactions.""
  },
  {
    ""description"": ""Orbital Configurations"",
    ""mechanism"": ""Resulting in stable orbital configurations due to gravitational interactions between celestial bodies.""
  }
]",money
4,Elementary,solar system,Astronomy,Moons,Natural satellites that orbit planets,The Moons act as stabilizers within the solar system by providing gravitational balance to the planets they orbit.,"The Moons are designed to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery.","The Moons act as stabilizers within the solar system by providing gravitational balance to the planets they orbit. The Moons are designed to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery.","""""""The Moons act as stabilizers within the solar system by providing gravitational balance to the planets they orbit. The Moons are {{designed}} to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery.""""""","XXX XXX act as stabilizers within the XXX XXX by providing gravitational balance to the planets they orbit. XXX XXX are XXX to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a XXX of interlocking cycles similar to gears in machinery.","[
  {
    ""description"": ""Stabilization"",
    ""mechanism"": ""Providing gravitational balance to the planets they orbit""
  },
  {
    ""description"": ""Orbital mechanics"",
    ""mechanism"": ""Continuously revolving around their host planet in specific orbits""
  },
  {
    ""description"": ""Equilibrium"",
    ""mechanism"": ""Maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery""
  }
]",Kpop
5,Elementary,solar system,Astronomy,Moons,Natural satellites that orbit planets,The Moons act as stabilizers within the solar system by providing gravitational balance to the planets they orbit.,"The Moons are designed to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery.","The Moons act as stabilizers within the solar system by providing gravitational balance to the planets they orbit. The Moons are designed to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery.","""""""The Moons act as stabilizers within the solar system by providing gravitational balance to the planets they orbit. The Moons are {{designed}} to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery.""""""","XXX XXX act as stabilizers within the XXX XXX by providing gravitational balance to the planets they orbit. XXX XXX are XXX to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a XXX of interlocking cycles similar to gears in machinery.","[
  {
    ""description"": ""Stabilization"",
    ""mechanism"": ""Providing gravitational balance to the planets they orbit""
  },
  {
    ""description"": ""Orbital mechanics"",
    ""mechanism"": ""Continuously revolving around their host planet in specific orbits""
  },
  {
    ""description"": ""Equilibrium"",
    ""mechanism"": ""Maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery""
  }
]",baseball
6,Elementary,solar system,Astronomy,Moons,Natural satellites that orbit planets,The Moons act as stabilizers within the solar system by providing gravitational balance to the planets they orbit.,"The Moons are designed to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery.","The Moons act as stabilizers within the solar system by providing gravitational balance to the planets they orbit. The Moons are designed to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery.","""""""The Moons act as stabilizers within the solar system by providing gravitational balance to the planets they orbit. The Moons are {{designed}} to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery.""""""","XXX XXX act as stabilizers within the XXX XXX by providing gravitational balance to the planets they orbit. XXX XXX are XXX to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a XXX of interlocking cycles similar to gears in machinery.","[
  {
    ""description"": ""Stabilization"",
    ""mechanism"": ""Providing gravitational balance to the planets they orbit""
  },
  {
    ""description"": ""Orbital mechanics"",
    ""mechanism"": ""Continuously revolving around their host planet in specific orbits""
  },
  {
    ""description"": ""Equilibrium"",
    ""mechanism"": ""Maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery""
  }
]",Iron Man
7,Elementary,solar system,Astronomy,Moons,Natural satellites that orbit planets,The Moons act as stabilizers within the solar system by providing gravitational balance to the planets they orbit.,"The Moons are designed to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery.","The Moons act as stabilizers within the solar system by providing gravitational balance to the planets they orbit. The Moons are designed to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery.","""""""The Moons act as stabilizers within the solar system by providing gravitational balance to the planets they orbit. The Moons are {{designed}} to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery.""""""","XXX XXX act as stabilizers within the XXX XXX by providing gravitational balance to the planets they orbit. XXX XXX are XXX to continuously revolve around their host planet in specific orbits, maintaining equilibrium through gravitational forces in a XXX of interlocking cycles similar to gears in machinery.","[
  {
    ""description"": ""Stabilization"",
    ""mechanism"": ""Providing gravitational balance to the planets they orbit""
  },
  {
    ""description"": ""Orbital mechanics"",
    ""mechanism"": ""Continuously revolving around their host planet in specific orbits""
  },
  {
    ""description"": ""Equilibrium"",
    ""mechanism"": ""Maintaining equilibrium through gravitational forces in a system of interlocking cycles similar to gears in machinery""
  }
]",money
8,Elementary,solar system,Astronomy,Asteroids,Small rocky bodies that orbit the Sun,"Asteroids serve as gravitational influencers within the solar system, affecting orbits and providing insight into the early formation of celestial bodies.","The Asteroids are positioned in various orbits around the Sun, forming a belt between Mars and Jupiter. Their small rocky structures create gravitational forces that interact with the larger planets, altering trajectories and influencing the overall stability of the solar system. By studying the composition and distribution of Asteroids, scientists can glean valuable information about the processes that shaped the early solar system and continue to impact its dynamics.","Asteroids serve as gravitational influencers within the solar system, affecting orbits and providing insight into the early formation of celestial bodies. The Asteroids are positioned in various orbits around the Sun, forming a belt between Mars and Jupiter. Their small rocky structures create gravitational forces that interact with the larger planets, altering trajectories and influencing the overall stability of the solar system. By studying the composition and distribution of Asteroids, scientists can glean valuable information about the processes that shaped the early solar system and continue to impact its dynamics.","""""""{{Asteroids}} serve as gravitational influencers within the solar system, affecting orbits and providing insight into the early formation of celestial bodies. The {{Asteroids}} are positioned in various orbits around the Sun, forming a belt between Mars and Jupiter. Their small rocky structures create gravitational forces that interact with the larger planets, altering trajectories and influencing the overall stability of the solar system. By studying the composition and distribution of {{Asteroids}}, scientists can glean valuable information about the processes that shaped the early solar system and continue to impact its dynamics.""""""","XXX serve as gravitational influencers within the XXX XXX, affecting orbits and providing insight into the early formation of celestial bodies. The XXX are positioned in various orbits around the XXX, forming a belt between XXX and XXX. Their small rocky structures create gravitational forces that interact with the larger planets, altering trajectories and influencing the overall stability of the XXX XXX. By studying the composition and distribution of XXX, scientists can glean valuable information about the processes that shaped the early XXX XXX and continue to impact its dynamics.","[
  {
    ""description"": ""Gravitational Forces"",
    ""mechanism"": ""Gravitational forces are utilized for interacting with celestial bodies, altering trajectories, and ensuring stability of planetary systems.""
  },
  {
    ""description"": ""Orbital Mechanics"",
    ""mechanism"": ""Utilizing various orbits to organize celestial objects and influence their positions and interactions.""
  }
]",Kpop
9,Elementary,solar system,Astronomy,Asteroids,Small rocky bodies that orbit the Sun,"Asteroids serve as gravitational influencers within the solar system, affecting orbits and providing insight into the early formation of celestial bodies.","The Asteroids are positioned in various orbits around the Sun, forming a belt between Mars and Jupiter. Their small rocky structures create gravitational forces that interact with the larger planets, altering trajectories and influencing the overall stability of the solar system. By studying the composition and distribution of Asteroids, scientists can glean valuable information about the processes that shaped the early solar system and continue to impact its dynamics.","Asteroids serve as gravitational influencers within the solar system, affecting orbits and providing insight into the early formation of celestial bodies. The Asteroids are positioned in various orbits around the Sun, forming a belt between Mars and Jupiter. Their small rocky structures create gravitational forces that interact with the larger planets, altering trajectories and influencing the overall stability of the solar system. By studying the composition and distribution of Asteroids, scientists can glean valuable information about the processes that shaped the early solar system and continue to impact its dynamics.","""""""{{Asteroids}} serve as gravitational influencers within the solar system, affecting orbits and providing insight into the early formation of celestial bodies. The {{Asteroids}} are positioned in various orbits around the Sun, forming a belt between Mars and Jupiter. Their small rocky structures create gravitational forces that interact with the larger planets, altering trajectories and influencing the overall stability of the solar system. By studying the composition and distribution of {{Asteroids}}, scientists can glean valuable information about the processes that shaped the early solar system and continue to impact its dynamics.""""""","XXX serve as gravitational influencers within the XXX XXX, affecting orbits and providing insight into the early formation of celestial bodies. The XXX are positioned in various orbits around the XXX, forming a belt between XXX and XXX. Their small rocky structures create gravitational forces that interact with the larger planets, altering trajectories and influencing the overall stability of the XXX XXX. By studying the composition and distribution of XXX, scientists can glean valuable information about the processes that shaped the early XXX XXX and continue to impact its dynamics.","[
  {
    ""description"": ""Gravitational Forces"",
    ""mechanism"": ""Gravitational forces are utilized for interacting with celestial bodies, altering trajectories, and ensuring stability of planetary systems.""
  },
  {
    ""description"": ""Orbital Mechanics"",
    ""mechanism"": ""Utilizing various orbits to organize celestial objects and influence their positions and interactions.""
  }
]",baseball
