,level_of_difficulty,tensor_name,source_domain,subtensor_name,subtensor_definition
0,Elementary,solar system,Astronomy,Planets,Large celestial bodies that orbit around the Sun.
1,Elementary,solar system,Astronomy,Dwarf Planets,Small celestial bodies that orbit around the Sun and have enough mass to be rounded by their own gravity but have not cleared their orbits.
2,Elementary,solar system,Astronomy,Asteroids,Small rocky objects that orbit around the Sun.
3,Elementary,solar system,Astronomy,Comets,Icy bodies that release gas and dust as they approach the inner solar system.
4,Elementary,solar system,Astronomy,Meteors,"Small rocks or pieces of debris that enter the Earth's atmosphere and burn up, producing shooting stars or meteors."
5,Elementary,solar system,Astronomy,Black Holes,"Regions of spacetime where the gravitational pull is so strong that nothing, including light, can escape."
6,Elementary,solar system,Astronomy,Gas Giants,"Planets primarily composed of hydrogen and helium, such as Jupiter and Saturn."
7,Elementary,solar system,Astronomy,Terrestrial Planets,"Planets with a solid surface, like Earth, Mars, Venus, and Mercury."
8,Elementary,solar system,Astronomy,Moons,Natural satellites that orbit planets.
9,Elementary,solar system,Astronomy,Rings,"Thin, circular structures made of ice and rock particles that orbit around some planets."
10,Elementary,solar system,Astronomy,Space Weather,"The study of the effects of solar activity on the Earth's magnetic field, atmosphere, and climate."
11,Intermediate,big bang theory,Astronomy, Cosmic Microwave Background Radiation,"The thermal radiation left over from the Big Bang, which is detectable in the microwave range of the electromagnetic spectrum."
12,Intermediate,big bang theory,Astronomy,Redshift,"A phenomenon where light emitted by distant galaxies is observed to have longer wavelengths than it would have if it were emitted from a nearby source, due to the expansion of the universe."
13,Intermediate,big bang theory,Astronomy,Hubble's Law,"A mathematical relationship that describes how the distance of a galaxy is related to its recessional velocity, which states that the farther away a galaxy is, the faster it moves away from us."
14,Intermediate,big bang theory,Astronomy,Galaxy Evolution,"The study of how galaxies change over time, including their formation, growth, and interactions with other galaxies."
15,Intermediate,big bang theory,Astronomy,Dark Matter,"A hypothetical form of matter that does not emit or reflect any electromagnetic radiation, but whose presence can be inferred by its gravitational effects on visible matter."
16,Intermediate,big bang theory,Astronomy,Dark Energy,"A hypothetical form of energy that is thought to be responsible for the accelerating expansion of the universe, which cannot be directly detected but whose presence can be inferred by its gravitational effects on visible matter."
