,level_of_difficulty,tensor_name,source_domain,subtensor_name,subtensor_definition
0,Elementary,solar system,Astronomy,Sun,"The star at the center of our solar system, around which the planets orbit."
1,Elementary,solar system,Astronomy,Planets,"Eight large celestial bodies in our solar system that orbit the Sun. They are, in order from the Sun: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune."
2,Elementary,solar system,Astronomy,Dwarf Planets,"Celestial bodies that orbit the Sun, are spherical in shape, but have not cleared their orbit of other debris. Pluto is an example of a dwarf planet."
3,Elementary,solar system,Astronomy,Asteroid Belt,A region of space between the orbits of Mars and Jupiter where a large number of asteroids are found.
4,Elementary,solar system,Astronomy,Comets,Icy bodies that originate from the outer regions of the solar system and can become visible when they get close to the Sun and vaporize to create a glowing tail.
5,Elementary,solar system,Astronomy,Meteoroids,"Small particles of rock or metal that orbit the Sun. When they enter the Earth's atmosphere, they become meteors (or shooting stars)."
6,Elementary,solar system,Astronomy,Kuiper Belt,A region of the solar system beyond the orbit of Neptune that contains many small icy bodies.
7,Elementary,solar system,Astronomy,Oort Cloud,"A distant, spherical shell of icy bodies surrounding the solar system that is thought to be the source of many comets."
8,Intermediate,big bang theory,Astronomy,Cosmic Microwave Background Radiation,"The residual heat of the big bang, now cooled to a temperature of about 2.73 Kelvin."
9,Intermediate,big bang theory,Astronomy,Expanding Universe,"The observation that galaxies are moving away from us, and the farther they are, the faster they are moving."
10,Intermediate,big bang theory,Astronomy,Inflationary Universe,A period of extremely rapid (exponential) expansion of the universe during its early stages.
11,Intermediate,big bang theory,Astronomy,Hubble's Law,The observation that the velocity of a galaxy is directly proportional to its distance from us.
12,Intermediate,big bang theory,Astronomy,Redshift of Distant Galaxies,"The observation that the light from distant galaxies is shifted towards longer (redder) wavelengths, indicating that those galaxies are moving away from us."
13,Intermediate,big bang theory,Astronomy,Elemental Abundances,"The relative abundances of the different elements in the universe, which provide evidence for the big bang."
14,Advanced,theory of the naked singularity,Astronomy,Black hole,"A region of space where gravity is so strong that nothing, not even light, can escape from it."
15,Advanced,theory of the naked singularity,Astronomy,Spacetime singularity,A point in space or spacetime where density becomes infinite and the laws of physics as we know them cease to be useful.
16,Advanced,theory of the naked singularity,Astronomy,Gravitational collapse,"The inward fall of matter under the influence of gravity, which can result in the formation of a naked singularity or a black hole."
17,Advanced,theory of the naked singularity,Astronomy,Cosmic censorship hypothesis,"A conjecture in theoretical physics which suggests that naked singularities cannot form in nature, and are always hidden behind event horizons."
18,Advanced,theory of the naked singularity,Astronomy,Exotic matter,"A hypothetical form of matter with negative mass or negative energy density, which could potentially stabilize a naked singularity and prevent the formation of a black hole."
19,Elementary,ecosystems,Biology,Producers,"Organisms that produce their own food, typically through photosynthesis."
20,Elementary,ecosystems,Biology,Consumers,"Organisms that consume other organisms for food. They can be further classified into herbivores, carnivores, and omnivores."
21,Elementary,ecosystems,Biology,Decomposers,"Organisms that break down dead organic material, returning nutrients to the ecosystem."
22,Elementary,ecosystems,Biology,Biotic Factors,"Living components of an ecosystem, such as plants, animals, and microorganisms."
23,Elementary,ecosystems,Biology,Abiotic Factors,"Non-living components of an ecosystem, such as temperature, light, and water."
24,Elementary,ecosystems,Biology,Trophic Levels,"Levels in an ecosystem that represent feeding relationships between organisms, from producers at the bottom to apex predators at the top."
25,Elementary,ecosystems,Biology,Energy Flow,"The movement of energy through an ecosystem, from producers to consumers."
26,Elementary,ecosystems,Biology,Nutrient Cycling,"The process by which nutrients are recycled within an ecosystem, moving between biotic and abiotic components."
27,Elementary,ecosystems,Biology,Biodiversity,"The variety of living organisms in an ecosystem, including genetic diversity within species, species diversity, and ecosystem diversity."
28,Elementary,ecosystems,Biology,Habitat,The natural environment in which a particular organism lives.
29,Elementary,ecosystems,Biology,Niche,"The role and position a species has in its environment, including its interactions with other species and its use of resources."
30,Elementary,ecosystems,Biology,Food Chain,A linear sequence of organisms through which nutrients and energy pass as one organism eats another.
31,Elementary,ecosystems,Biology,Food Web,"A complex network of food chains in an ecosystem, showing the feeding relationships among organisms."
32,Elementary,ecosystems,Biology,Succession,The process by which the species in a biological community change over time.
33,Elementary,ecosystems,Biology,Climax Community,"The final stage of ecological succession, characterized by a stable community of organisms and a relatively constant environment."
34,Intermediate,DNA,Biology,Nucleotides,"The building blocks of DNA, each consisting of a sugar molecule, a phosphate group, and a nitrogenous base."
